median_color_chip_size,median_color_chip_width,median_color_chip_height,image_height,image_width,run_date,plantcv_version,sample,trait,value,label
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,convex_hull_area,95280.0,pixels
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,solidity,0.7559508816120907,none
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,perimeter,3997.984936118126,pixels
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,width,117,pixels
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,height,1068,pixels
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,longest_path,7471,pixels
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,center_of_mass,1063.804601052383,x
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,center_of_mass,686.0550349174615,y
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,convex_hull_vertices,20,none
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,object_in_frame,1,none
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,ellipse_center,1061.5794677734375,x
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,ellipse_center,705.4359741210938,y
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,ellipse_major_axis,1115.182861328125,pixels
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,ellipse_minor_axis,106.08551025390625,pixels
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,ellipse_angle,0.8072195053100586,degrees
[np.float64(33869.0)],[np.float64(184.2360382080078)],[np.float64(190.30174255371094)],[3024],[4032],['2025-05-21T12:09:27.821503Z'],['4.8.dev110+gb56a9b06'],male_1,ellipse_eccentricity,0.9954650150674073,none
